candidate_id,rank,score,reasoning
CAND_0000031,1,0.943204667,"6.0 yrs, currently Recommendation Systems Engineer at Swiggy (Hyderabad, Telangana). Career evidence shows ranking / learning-to-rank work, search or retrieval evidence, recommendation/discovery systems, which maps to the JD's production retrieval/ranking focus Availability signals are acceptable for outreach."
CAND_0000010,2,0.358480927,"4.6 yrs, currently Data Engineer at Ola (London). Career evidence shows ranking evaluation experience, which maps to the JD's production retrieval/ranking focus Concern: notice period is 120 days; not marked open to work."
CAND_0000043,3,0.280000000,"8.3 yrs, currently Cloud Engineer at Swiggy (Chandigarh, Chandigarh). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: notice period is 120 days; not marked open to work."
CAND_0000001,4,0.220000000,"6.9 yrs, currently Backend Engineer at Mindtree (Toronto). Relevant listed skills include Milvus, NLP, Fine-tuning LLMs, LoRA, but career evidence is weaker than the top matches Availability signals are acceptable for outreach."
CAND_0000014,5,0.220000000,"8.4 yrs, currently Frontend Engineer at Zomato (Hyderabad, Telangana). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: notice period is 90 days; not marked open to work."
CAND_0000038,6,0.220000000,"6.7 yrs, currently Java Developer at Swiggy (Coimbatore, Tamil Nadu). Relevant listed skills include Weaviate, MLOps, but career evidence is weaker than the top matches Concern: notice period is 90 days; low recruiter response rate."
CAND_0000048,7,0.220000000,"9.7 yrs, currently Mobile Developer at CRED (Hyderabad, Telangana). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: notice period is 120 days."
CAND_0000035,8,0.210911459,"4.3 yrs, currently Full Stack Developer at Globex Inc (Hyderabad, Telangana). Relevant listed skills include Recommendation Systems, but career evidence is weaker than the top matches Concern: not marked open to work."
CAND_0000023,9,0.191228239,"3.7 yrs, currently Software Engineer at Acme Corp (New York). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: not marked open to work."
CAND_0000018,10,0.179288702,"6.6 yrs, currently Frontend Engineer at Acme Corp (Bhubaneswar, Odisha). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: notice period is 120 days; not marked open to work."
CAND_0000044,11,0.163314028,"5.7 yrs, currently Frontend Engineer at Tech Mahindra (Indore, Madhya Pradesh). Relevant listed skills include Python, but career evidence is weaker than the top matches Concern: notice period is 90 days; not marked open to work."
CAND_0000025,12,0.162123009,"7.3 yrs, currently Frontend Engineer at Tech Mahindra (Vizag, Andhra Pradesh). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: notice period is 120 days."
CAND_0000015,13,0.152078650,"5.4 yrs, currently Software Engineer at Razorpay (Trivandrum, Kerala). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: notice period is 90 days."
CAND_0000011,14,0.121984017,"2.0 yrs, currently QA Engineer at Pied Piper (Hyderabad, Telangana). Career history has production-shipping evidence, but direct retrieval/ranking evidence is limited compared with the strongest matches Concern: notice period is 90 days; not marked open to work."
